mep_id,role_id,comm_id,delg_id
20008,170,,330
20256,170,,80
20251,170,,100
20247,170,,110
20263,170,,370
20269,170,,370
20266,170,,120
20276,170,,120
20286,170,,385
20248,170,,385
20268,170,,130
20267,170,,390
20254,170,,390
20009,170,,390
20252,170,,140
20271,170,,410
20008,170,,410
20272,170,,160
20246,170,,160
20232,170,,160
20250,170,,160
20275,170,,170
20270,170,,430
20285,170,,430
20258,170,,440
20274,170,,440
20006,170,,440
20282,170,,440
20283,170,,440
20241,170,,440
20239,170,,440
20233,170,,440
20010,170,,200
20272,170,,460
20279,170,,460
20281,170,,460
20007,170,,460
20006,170,,460
20004,170,,460
20280,170,,220
20236,170,,220
20271,170,,480
20258,170,,480
20263,170,,480
20261,170,,480
20255,170,,480
20284,170,,480
20234,170,,480
20241,170,,480
20250,170,,480
20250,170,,230
20278,170,,240
20276,170,,240
20018,170,,260
20015,170,,260
20070,170,,10
20053,170,,20
20003,170,,30
20015,170,,40
20043,170,,50
20002,170,,310
20016,170,,310
20047,170,,310
20075,170,,310
20013,170,,60
20040,170,,60
20048,170,,60
20073,170,,60
20039,170,,70
20054,170,,70
20024,170,,330
20021,170,,330
20012,170,,80
20061,170,,100
20019,170,,110
20037,170,,370
20071,170,,370
20023,170,,120
20033,170,,120
20003,170,,380
20064,170,,385
20011,170,,140
20043,170,,140
20028,170,,150
20032,170,,150
20046,170,,150
20060,170,,150
20027,170,,410
20017,170,,160
20041,170,,160
20019,170,,420
20031,170,,420
20037,170,,420
20029,170,,420
20045,170,,170
20062,170,,170
20058,170,,180
20025,170,,440
20042,170,,440
20052,170,,440
20063,170,,440
20059,170,,440
20037,170,,200
20030,170,,200
20061,170,,200
20002,170,,460
20038,170,,460
20072,170,,460
20034,170,,210
20035,170,,210
20036,170,,210
20029,170,,210
20057,170,,210
20067,170,,210
20076,170,,210
20026,170,,220
20065,170,,220
20030,170,,480
20063,170,,480
20020,170,,230
20044,170,,230
20146,170,,260
20149,170,,260
20100,170,,260
20088,170,,20
20112,170,,280
20131,170,,280
20147,170,,280
20123,170,,280
20115,170,,30
20105,170,,30
20108,170,,40
20106,170,,40
20105,170,,50
20143,170,,310
20127,170,,60
20102,170,,70
20116,170,,330
20102,170,,80
20118,170,,90
20140,170,,90
20145,170,,100
20101,170,,110
20136,170,,370
20096,170,,120
20099,170,,120
20086,170,,380
20097,170,,385
20102,170,,130
20079,170,,130
20117,170,,390
20109,170,,140
20095,170,,140
20077,170,,140
20137,170,,140
20139,170,,150
20107,170,,410
20129,170,,410
20128,170,,410
20093,170,,160
20083,170,,160
20098,170,,420
20119,170,,170
20093,170,,170
20082,170,,180
20089,170,,180
20124,170,,180
20121,170,,440
20095,170,,440
20133,170,,440
20135,170,,440
20087,170,,200
20096,170,,200
20107,170,,460
20113,170,,460
20090,170,,460
20125,170,,460
20103,170,,210
20120,170,,210
20141,170,,210
20132,170,,210
20084,170,,220
20091,170,,480
20096,170,,480
20078,170,,480
20146,170,,480
20130,170,,480
20105,170,,230
20093,170,,230
20148,170,,230
20151,170,,230
20104,170,,240
20080,170,,240
20150,170,,240
40016,170,,10
40020,170,,280
40069,170,,280
40057,170,,280
40023,170,,30
40042,170,,30
40038,170,,40
40035,170,,40
40025,170,,50
40047,170,,50
40046,170,,310
40028,170,,310
40024,170,,310
40031,170,,310
40058,170,,310
40013,170,,330
40044,170,,330
40029,170,,330
40018,170,,80
40022,170,,80
40067,170,,90
40016,170,,100
40030,170,,100
40018,170,,120
40043,170,,120
40026,170,,380
40055,170,,380
40017,170,,385
40059,170,,385
40068,170,,390
40026,170,,390
40070,170,,140
40061,170,,140
40054,170,,140
40016,170,,150
40053,170,,150
40015,170,,160
40027,170,,160
40065,170,,160
40015,170,,170
40019,170,,170
40041,170,,170
40050,170,,170
40064,170,,170
40065,170,,180
40048,170,,180
40023,170,,440
40014,170,,440
40045,170,,440
40034,170,,440
40028,170,,440
40039,170,,440
40051,170,,200
