mep_id,pg_role_id
40204,80
40185,80
40213,80
40197,80
40208,80
40192,80
40203,80
40218,80
40191,80
40172,80
40201,80
40194,80
40188,80
40207,80
40202,80
40210,80
40178,80
40168,80
40174,80
40200,80
40157,80
40158,80
40180,80
40171,80
40190,80
40214,80
40176,80
40177,80
40175,80
40179,80
40212,80
40189,80
40211,80
40166,80
40181,80
40209,80
40205,80
40164,80
40165,80
40170,80
40184,80
40217,80
40167,80
40187,80
40216,80
40198,80
40182,80
77703,40
160046,70
77714,80
77708,80
77712,80
77724,80
77722,80
77701,80
77723,80
77726,80
77721,80
77730,80
77710,80
77720,80
77717,80
77727,80
77718,80
77705,80
77702,80
77706,80
77725,80
77729,80
77704,80
77716,80
77709,80
77713,80
77719,80
77707,80
77728,80
77711,80
77715,80
1,10
20001,20
20135,80
20147,80
20146,80
20144,80
20137,80
20140,80
20149,80
20136,80
20145,80
20153,80
20138,80
20151,80
20152,80
20141,80
20148,80
20139,80
20142,80
20150,80
20143,80
20254,80
20264,80
20267,80
20266,80
20262,80
20265,80
20268,80
20256,80
20257,80
20270,80
20271,80
20263,80
20269,80
20261,80
20255,80
20258,80
20259,80
20260,80
20034,80
20017,80
20011,80
20022,80
20002,80
20018,80
20016,80
20032,80
20021,80
20014,80
20029,80
20033,80
20024,80
20025,80
20013,80
20015,80
20012,80
20020,80
20023,80
20028,80
20026,80
20019,80
20003,80
20027,80
20031,80
20030,80
20249,80
20169,80
20202,80
20180,80
20224,80
20168,80
20229,80
20194,80
20207,80
20164,80
20235,80
20190,80
20215,80
20248,80
20213,80
20232,80
20199,80
20193,80
20217,80
20185,80
20208,80
20244,80
20181,80
20240,80
20234,80
20239,80
20187,80
20227,80
20251,80
20253,80
20184,80
20247,80
20161,80
20222,80
20250,80
20159,80
20174,80
20209,80
20220,80
20210,80
20188,80
20156,80
20162,80
20233,80
20186,80
20211,80
20214,80
20173,80
20172,80
20219,80
20196,80
20203,80
20204,80
20182,80
20171,80
20252,80
20158,80
20241,80
20205,80
20177,80
20236,80
20242,80
20175,80
20170,80
20221,80
20166,80
20200,80
20230,80
20165,80
20238,80
20179,80
20201,80
20246,80
20155,80
20218,80
20191,80
20197,80
20212,80
20223,80
20237,80
20157,80
20178,80
20198,80
20228,80
20163,80
20216,80
20226,80
20189,80
20183,80
20243,80
20195,80
20225,80
20167,80
20192,80
20176,80
20245,80
20154,80
20231,80
20206,80
20160,80
20068,80
20095,80
20115,80
20082,80
20093,80
20134,80
20116,80
20044,80
20057,80
20109,80
20039,80
20059,80
20062,80
20092,80
20049,80
20119,80
20085,80
20052,80
20071,80
20037,80
20088,80
20045,80
20086,80
20133,80
20080,80
20036,80
20060,80
20121,80
20100,80
20090,80
20123,80
20061,80
20035,80
20053,80
20069,80
20070,80
20065,80
20084,80
20072,80
20067,80
20046,80
20043,80
20073,80
20130,80
20113,80
20079,80
20091,80
20108,80
20056,80
20051,80
20074,80
20054,80
20094,80
20047,80
20040,80
20098,80
20089,80
20041,80
20038,80
20120,80
20048,80
20055,80
20122,80
20129,80
20128,80
20111,80
20099,80
20105,80
20103,80
20107,80
20077,80
20042,80
20118,80
20087,80
20125,80
20112,80
20104,80
20096,80
20050,80
20127,80
20097,80
20131,80
20124,80
20063,80
20066,80
20117,80
20076,80
20064,80
20126,80
20101,80
20078,80
20132,80
20114,80
20075,80
20058,80
20081,80
20106,80
20083,80
20110,80
20102,80
